seed,function_name,condition,noise,optimizer,dropout,weight_decay,reg_state,model_size,auprc_full,val_loss,first_val_loss,last_val_loss,best_epoch,converged
44,f7,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.501974333662389,1.110679213670974,1.1864979241756684,1.1276241934045832,95,True
44,f7,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.501974333662389,1.1295997164350875,1.199974071472249,1.1494069714495476,95,True
44,f7,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.501974333662389,1.1052777329657941,1.1821460470240166,1.1230416380344552,70,True
44,f7,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.4186410003290556,1.131670355162722,1.1945888907351392,1.154447504814635,91,True
44,f7,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.4186410003290556,4.360508591570753,4.430312397632193,4.468550357412784,16,False
44,f7,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.501974333662389,4.3870936936520515,4.413605728047959,4.4281449444750525,15,False
44,f7,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.4186410003290556,4.362518635201962,4.430128853371802,4.426018938105157,15,False
44,f7,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,4.388090463394814,4.415229421980838,4.494458348193067,28,False
44,f8,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.6791666666666667,0.004561467720393805,0.04307128808045007,0.005275450758338767,85,True
44,f8,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.6458333333333333,0.057708786166411764,0.10644827057865072,0.07434545928969029,80,True
44,f8,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.6791666666666667,0.005239076709295524,0.04334824223150598,0.006803967754673609,85,True
44,f8,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.6458333333333333,0.04092917204933598,0.10885404617069884,0.07548688982236892,68,True
44,f8,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.6791666666666667,1.0760062108648585,1.1870290706766413,1.0913561126019091,94,True
44,f8,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.6041666666666666,1.1099898675654798,1.213674929547817,1.2831216048687062,81,False
44,f8,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.6791666666666667,1.0777924447617633,1.1904629145530945,1.121034547369531,94,True
44,f8,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.6458333333333333,1.1120071151155106,1.2167092491971685,1.211979036635541,10,False
44,f8,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.7333333333333333,4.285635382571119,4.379067829314699,4.324297603140486,63,False
44,f8,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.4801538334978611,4.299102057801917,4.481981013683563,4.379352777562243,60,False
44,f8,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.4801538334978611,4.286703698178555,4.377585345126213,4.352534043027999,28,False
44,f8,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.4801538334978611,4.301509466577084,4.483358827043087,4.382006409320425,92,False
44,f9,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.501974333662389,0.011509053958976206,0.02936322697775161,0.01311068421110828,58,True
44,f9,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.501974333662389,0.027457487313671314,0.05401731637167804,0.04694420491602826,77,True
44,f9,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.501974333662389,0.011409094834581334,0.02986496996055258,0.015229273319957739,74,True
44,f9,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,0.029258462937271343,0.05578988717195201,0.07074793126988918,29,False
44,f9,ms_base_n0p5,0.5,adam,0.0,False,base,small,0.501974333662389,0.43958364712431075,0.5092057810818895,0.4519098274251248,85,True
44,f9,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.501974333662389,0.456564170566011,0.5312386361208368,0.491657314782447,47,True
44,f9,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,0.501974333662389,0.4400792724274574,0.5058700623030358,0.4521739568482054,49,True
44,f9,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,0.4523029149846828,0.5302302501303084,0.48078180215460187,92,True
44,f9,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.501974333662389,1.71123521125063,1.7559047569619848,1.7438466105055301,22,False
44,f9,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.501974333662389,1.7190146991547117,1.7716389070165919,1.8035340385234102,14,False
44,f9,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.501974333662389,1.7111522961170116,1.7539819060487951,1.7390606289214277,19,False
44,f9,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,1.7232097881905577,1.7716852515301806,1.794502058561812,93,False
44,f10,ms_base_n0p0,0.0,adam,0.0,False,base,small,1.0,0.003248830579785987,0.025635135211446818,0.005078871305932865,98,True
44,f10,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.6509871668311944,0.02757154130674106,0.06149105466109641,0.04142334538095809,76,True
44,f10,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,1.0,0.003427573731119566,0.02587694217985932,0.004902983388982396,67,True
44,f10,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.5426538334978611,0.01956138416054718,0.06181975497685848,0.030703885322238538,96,True
44,f10,ms_base_n0p5,0.5,adam,0.0,False,base,small,1.0,0.48363498550780276,0.6081308652745917,0.4922279531651355,57,True
44,f10,ms_dp_n0p5,0.5,adam,0.2,False,dropout,small,0.6884871668311945,0.515990859967597,0.579667367833726,0.5285905970537916,71,True
44,f10,ms_wd_n0p5,0.5,adam,0.0,True,weight_decay,small,1.0,0.48557712327926716,0.6083793513318325,0.49484455109910763,49,True
44,f10,ms_dpwd_n0p5,0.5,adam,0.2,True,dropout+weight_decay,small,0.6259871668311945,0.5097028565533618,0.5807617249641013,0.5235376148781878,52,True
44,f10,ms_base_n1p0,1.0,adam,0.0,False,base,small,0.7509871668311945,1.9225169369514952,2.050136777948826,1.9410302854598838,30,True
44,f10,ms_dp_n1p0,1.0,adam,0.2,False,dropout,small,0.6884871668311945,1.9652708312298388,2.038517287436952,2.030251146631038,39,False
44,f10,ms_wd_n1p0,1.0,adam,0.0,True,weight_decay,small,0.7509871668311945,1.9204295949733003,2.0539043723268713,1.9464229548231085,60,True
44,f10,ms_dpwd_n1p0,1.0,adam,0.2,True,dropout+weight_decay,small,0.501974333662389,1.945982685748567,2.0360247264517115,1.97692531093638,30,False
45,f1,ms_base_n0p0,0.0,adam,0.0,False,base,small,0.3759871668311945,0.0020831041236190084,0.017976296599954367,0.002356260762292337,97,True
45,f1,ms_dp_n0p0,0.0,adam,0.2,False,dropout,small,0.14086322255127784,0.00716590028791193,0.01831219994284688,0.010951090906251302,62,True
45,f1,ms_wd_n0p0,0.0,adam,0.0,True,weight_decay,small,0.3030705001645278,0.0021294963198089773,0.011348283299779955,0.004521058072296387,37,True
45,f1,ms_dpwd_n0p0,0.0,adam,0.2,True,dropout+weight_decay,small,0.14086322255127784,0.008980398987756764,0.01833841127363291,0.01099047756337739,69,True
