epoch,function_name,experiment,noise,optimizer,dropout,weight_decay,model_size,val_loss,auprc,auprc_full,auroc,auroc_full,success,error,checkpoint_path
56.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.005195051431655884,0.6950757575757576,0.4714285714285714,0.8928571428571429,0.9962834489593656,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0056.pt
57.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.00243166321888566,0.6950757575757576,0.4714285714285714,0.8875,0.9962834489593657,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0057.pt
58.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0023846663534641266,0.6810897435897436,0.4625,0.8749999999999999,0.9957879088206145,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0058.pt
59.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0025828664656728506,0.7784090909090909,0.5185897435897435,0.9047619047619049,0.9967789890981168,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0059.pt
60.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002727910876274109,0.7708333333333333,0.5083333333333333,0.8977272727272727,0.9962834489593656,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0060.pt
61.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0029962449334561825,0.675595238095238,0.4588235294117647,0.8571428571428572,0.9955401387512388,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0061.pt
62.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0031585432589054108,0.6041666666666666,0.34265383349786116,0.6375000000000001,0.8686818632309217,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0062.pt
63.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0027719330973923206,0.675595238095238,0.4588235294117647,0.8695652173913044,0.9955401387512389,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0063.pt
64.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002170589054003358,0.5176282051282051,0.3009871668311945,0.6363636363636362,0.8681863230921705,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0064.pt
65.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0020856920164078474,0.5265151515151515,0.30455859540262303,0.6375,0.8686818632309217,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0065.pt
66.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.004785376600921154,0.6810897435897436,0.4625,0.8749999999999999,0.9957879088206145,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0066.pt
67.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.003037030342966318,0.6810897435897436,0.4625,0.8690476190476191,0.9957879088206144,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0067.pt
68.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002474807668477297,0.675595238095238,0.4588235294117647,0.8571428571428572,0.9955401387512388,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0068.pt
69.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0021579160820692778,0.675595238095238,0.4588235294117647,0.8636363636363635,0.9955401387512389,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0069.pt
70.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.00643170066177845,0.47596153846153844,0.2759871668311945,0.625,0.8679385530227949,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0070.pt
71.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0029143602587282658,0.6875,0.4666666666666667,0.8913043478260869,0.99603567888999,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0071.pt
72.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002052335301414132,0.6708333333333333,0.45555555555555555,0.8522727272727273,0.9952923686818632,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0072.pt
73.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0025553761515766382,0.6708333333333333,0.45555555555555555,0.8452380952380952,0.9952923686818631,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0073.pt
74.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.01827871985733509,0.6708333333333333,0.45555555555555555,0.8522727272727273,0.9952923686818632,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0074.pt
75.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0032847828697413206,0.6708333333333333,0.45555555555555555,0.8522727272727273,0.9952923686818632,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0075.pt
76.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002996705938130617,0.7541666666666667,0.49722222222222223,0.8636363636363635,0.9955401387512388,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0076.pt
77.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0021224261727184057,0.6810897435897436,0.4625,0.8854166666666667,0.9957879088206144,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0077.pt
78.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002138000214472413,0.6810897435897436,0.4625,0.855263157894737,0.9957879088206144,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0078.pt
79.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0025224986020475626,0.6375,0.4009871668311945,0.7307692307692307,0.8701684836471754,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0079.pt
80.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0026043434627354145,0.7291666666666666,0.44265383349786114,0.7374999999999999,0.8711595639246779,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0080.pt
81.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.002012955490499735,0.675595238095238,0.45882352941176474,0.875,0.9955401387512388,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0081.pt
82.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0018824964063242078,0.7219827586206897,0.4426538334978611,0.74,0.8705401387512388,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0082.pt
83.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.007731015328317881,0.4583333333333333,0.22697433366238895,0.47500000000000003,0.7433102081268583,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0083.pt
84.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0025023387279361486,0.6810897435897436,0.4625,0.8625,0.9957879088206144,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0084.pt
85.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0024509986396878958,0.6441666666666666,0.40098716683119445,0.726190476190476,0.8707879088206144,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0085.pt
86.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0032689254730939865,0.6426282051282051,0.40098716683119445,0.7272727272727273,0.8706640237859267,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0086.pt
87.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.0021100484300404787,0.7589285714285714,0.5004901960784314,0.8552631578947368,0.9957879088206144,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0087.pt
88.0,f1,dropout_p0.0,0.0,adam,0.0,False,small,0.008181462064385414,0.6875,0.4666666666666667,0.868421052631579,0.99603567888999,True,,snapshots_probe/small/f1/dropout_p0.0/epoch_0088.pt
